"entity_type","entity_id","status","details"
"learning_objective","LO-C1-01","workshop-only","workshop_links=13; review_links=0"
"learning_objective","LO-C3-01","workshop-only","workshop_links=38; review_links=0"
"learning_objective","LO-C4-01","workshop-only","workshop_links=25; review_links=0"
"learning_objective","LO-C5-01","workshop-only","workshop_links=72; review_links=0"
"learning_objective","LO-C5S5.1-01","workshop-only","workshop_links=1; review_links=0"
"learning_objective","LO-C5S5.2-01","workshop-only","workshop_links=1; review_links=0"
"learning_objective","LO-C5S5.3-01","workshop-only","workshop_links=1; review_links=0"
"learning_objective","LO-C5S5.4-01","workshop-only","workshop_links=1; review_links=0"
"learning_objective","LO-C5S5.5-01","workshop-only","workshop_links=1; review_links=0"
"learning_objective","LO-C5S5.6-01","workshop-only","workshop_links=1; review_links=0"
"learning_objective","LO-C5S5.7-01","workshop-only","workshop_links=1; review_links=0"
"learning_objective","LO-C5S5.8-01","workshop-only","workshop_links=1; review_links=0"
"learning_objective","LO-C5S5.9-01","workshop-only","workshop_links=1; review_links=0"
